Method,K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,omega_min,omega_abs_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent,valid,constraint_stable,constraint_overshoot,constraint_steady_state_error,constraint_settling_time,constraint_saturation,feasible,objective,penalized,trial,objective_model_target,used_penalty_in_objective_model,g_overshoot,g_steady_state_error,g_settling_time,g_saturation,expected_improvement,feasibility_probability,constrained_expected_improvement,feasible_best_so_far,feasible_count_so_far
Feasibility-aware BO,0.3283100131325021,0.5013678037371725,0.009711195378331386,0.034370763069138215,0.002040018234968127,0.0,0.22097834752104895,12.594030880000036,12.594030880000036,0.0004812898305908288,12.594030880000036,0.0,0.0,4.787,0.0006930232015884865,0.06930232015884866,5.99768487331155,0.0,0.0,True,True,True,True,False,True,False,0.034370763069138215,False,28,0.034370763069138215,False,-0.1,-0.019306976798411514,2.787,-0.05,0.0022322939099586256,0.222310992340235,0.0004962634743179653,0.03660956722771919,10
Feasibility-aware BO,0.5052874398893845,0.5044434980651855,0.005654687826300131,0.034254112253695415,0.00195377668418718,0.0,0.22054564162122073,12.577621691109176,12.577621691109176,0.0007403408275486868,12.577621691109176,0.0,0.0,5.678,0.0023810029177273773,0.23810029177273773,6.374772864111125,0.0,0.0,True,True,True,True,False,True,False,0.034254112253695415,False,29,0.034254112253695415,False,-0.1,-0.017618997082272624,3.678,-0.05,0.0023547840442313117,0.21323598657629345,0.000502124698845778,0.03660956722771919,10
Feasibility-aware BO,0.5568109948508977,0.515999668278653,0.0013134250346658815,0.03433763947417278,0.0018602754737255635,0.0,0.22147649459958293,12.573931152821997,12.573931152821997,0.0008157741195334247,12.573931152821997,0.0,0.0,5.791,0.002741748553880259,0.2741748553880259,7.034901974361963,0.0,0.0,True,True,True,True,False,True,False,0.03433763947417278,False,30,0.03433763947417278,False,-0.1,-0.01725825144611974,3.7910000000000004,-0.05,0.0022741841752661474,0.20314940989057784,0.00046199917318780827,0.03660956722771919,10
Feasibility-aware BO,0.5852116274776992,0.5014202599600834,0.0006251399287237891,0.03423581321809828,0.00197344997314804,0.0,0.2203449548947297,12.564873298128653,12.564873298128653,0.0008573235291243146,12.564873298128653,0.0,0.0,6.107,0.003629087524256786,0.3629087524256786,7.395287106288571,0.0,0.0,True,True,True,True,False,True,False,0.03423581321809828,False,31,0.03423581321809828,False,-0.1,-0.016370912475743214,4.107,-0.05,0.002374296397368615,0.19366047041733936,0.0004598073572246001,0.03660956722771919,10
Feasibility-aware BO,0.7902360624319844,0.5046911112331656,0.004740874303034033,0.03434542542765444,0.00193346332753527,0.0,0.22123564954088853,12.530439756081432,12.530439756081432,0.001157427952251683,12.530439756081432,0.0,0.0,6.924,0.006855170653539275,0.6855170653539274,9.96333349464454,0.0,0.0,True,True,True,True,False,True,False,0.03434542542765444,False,32,0.03434542542765444,False,-0.1,-0.013144829346460725,4.924,-0.05,0.0022640404829774377,0.1847159134258809,0.00041820430584634996,0.03660956722771919,10
Feasibility-aware BO,0.6713950464114583,0.5034707573851136,0.006767040485044963,0.0342606691900526,0.0019433077580121134,0.0,0.2206312302349689,12.55213931696897,12.55213931696897,0.0009834754581232968,12.55213931696897,0.0,0.0,6.439,0.004839647630420236,0.48396476304202357,8.465921316327428,0.0,0.0,True,True,True,True,False,True,False,0.0342606691900526,False,33,0.0342606691900526,False,-0.1,-0.015160352369579765,4.439,-0.05,0.002348890392118573,0.17692581116882877,0.00041557933797224683,0.03660956722771919,10
Feasibility-aware BO,0.4618308443964068,0.5005059646594553,0.0004508463117370654,0.034243549859315145,0.0019996471895740273,0.0,0.22029174363713816,12.581428291887633,12.581428291887633,0.0006767265070282201,12.581428291887633,0.0,0.0,5.537,0.002002199762578785,0.2002199762578785,5.9925964647345245,0.0,0.0,True,True,True,True,False,True,False,0.034243549859315145,False,34,0.034243549859315145,False,-0.1,-0.017997800237421216,3.537,-0.05,0.002366073812836461,0.16910685657178293,0.000400119304905587,0.03660956722771919,10
Feasibility-aware BO,0.7234248249295305,0.5010178633887175,0.0004557256447020319,0.034288731852396996,0.0019702932187655154,0.0,0.2207103728075846,12.54064019204871,12.54064019204871,0.001059629217352698,12.54064019204871,0.0,0.0,6.716,0.005918586302701022,0.5918586302701022,9.13160175555345,0.0,0.0,True,True,True,True,False,True,False,0.034288731852396996,False,35,0.034288731852396996,False,-0.1,-0.014081413697298978,4.716,-0.05,0.0023215152757736085,0.16199225981238735,0.0003760675057115445,0.03660956722771919,10
Feasibility-aware BO,0.6036991061971233,0.5210397663335504,0.0033124282065519874,0.03437467871371374,0.0018160351748601595,0.0,0.22190038405865095,12.56940235859814,12.56940235859814,0.0008844128535402149,12.56940235859814,0.0,0.0,5.928,0.003181311873136383,0.3181311873136383,7.616275006049595,0.0,0.0,True,True,True,True,False,True,False,0.03437467871371374,False,36,0.03437467871371374,False,-0.1,-0.01681868812686362,3.928,-0.05,0.0022342638319999553,0.1552385329695779,0.00034684383954666054,0.03660956722771919,10
Feasibility-aware BO,0.6846636507849257,0.5041297705131904,0.007748163441639786,0.0342683262832791,0.0019361238543350529,0.0,0.22071101313785385,12.550236093970158,12.550236093970158,0.0010028980264943045,12.550236093970158,0.0,0.0,6.4830000000000005,0.00501806972549753,0.501806972549753,8.633114034998531,0.0,0.0,True,True,True,True,False,True,False,0.0342683262832791,False,37,0.0342683262832791,False,-0.1,-0.01498193027450247,4.4830000000000005,-0.05,0.002341359309695576,0.14865539562390434,0.0003480556944805074,0.03660956722771919,10
Feasibility-aware BO,0.5289426248310601,0.5172156428822436,0.004591054998151839,0.03434327604473336,0.001851448460340969,0.0,0.2215493797901919,12.578035327049365,12.578035327049365,0.0007749842362535635,12.578035327049365,0.0,0.0,5.6370000000000005,0.0023357625616890784,0.23357625616890784,6.673742588790555,0.0,0.0,True,True,True,True,False,True,False,0.03434327604473336,False,38,0.03434327604473336,False,-0.1,-0.01766423743831092,3.6370000000000005,-0.05,0.0022662604148857776,0.14246180333362757,0.00032285554552824284,0.03660956722771919,10
