Controller,test_group,condition,condition_label,seed,J_total,J_tracking,J_overshoot,J_control,overshoot,overshoot_percent,settling_time,steady_state_error_percent,voltage_max_abs,saturation_percent,omega_final,disturbance_recovery_time,R,J_m,load_step_value,sensor_noise_sigma,load_step_time,J_nominal,performance_degradation_percent
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,104.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,105.0,0.03817651842324221,0.00011397909891356004,0.0,0.2540542064259605,0.0,0.0,1.322,2.158820987935383e-07,10.24280250329377,0.0,12.599999991380132,,0.18644,0.013767,0.0,0.0,,0.03817651842324221,0.0
Optimized PID,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,105.0,0.03670217885813229,0.0006108587109045579,7.49975522750603e-09,0.24223774504433834,8.660112717226047e-05,0.008660112717226047,1.547,4.709601315635299e-10,6.001635261197194,0.0,12.600000000000694,,0.18644,0.013767,0.0,0.0,,0.03670217885813229,0.0
RL Direct Voltage Control,sensor_noise,noise_sigma_0.000,sigma = 0 rad/s,105.0,0.03490333789728869,0.007779457009577775,0.0,0.20157109127694683,0.0,0.0,inf,12.430303946984317,12.0,0.5999400059994,11.033781700315744,,0.18644,0.013767,0.0,0.0,,0.03490333789728869,0.0
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,101.0,0.03817726748472406,0.00011395822833045691,4.213006845313997e-09,0.25405927662982714,6.490767940170098e-05,0.006490767940170098,1.322,0.0024194205327712813,10.272508723785673,0.0,12.600745812351365,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0019621000363213635
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,101.0,0.03670252474150515,0.0006108109910617157,8.104944012241424e-09,0.24224024080421414,9.002746254472256e-05,0.009002746254472256,1.547,0.0016444313478462705,6.028056413904097,0.0,12.60045825920016,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.0009424055563479188
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,101.0,0.0349035121001025,0.007778823393303389,0.0,0.20157478709413645,0.0,0.0,inf,12.426954019694524,12.0,0.5999400059994,11.034738319854856,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,0.0004991007287773064
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,102.0,0.03817711316488476,0.00011395185212787042,4.809161935041062e-09,0.25405827234211703,6.934812135192317e-05,0.006934812135192317,1.322,0.00035031593335524636,10.275562199097044,0.0,12.599676381287098,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0015578729206052952
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,102.0,0.03670249372592028,0.0006107932976882691,9.453816268791428e-09,0.24224010255902167,9.723073726343654e-05,0.009723073726343654,1.547,0.0007288333652014663,6.0252639133707016,0.0,12.599912439012641,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.0008578994429884995
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,102.0,0.0349035761088461,0.007779218108688767,0.0,0.20157363495755226,0.0,0.0,inf,12.430777346997461,12.0,0.5999400059994,11.033066275373269,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,0.0006824893312814379
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,103.0,0.03817743527673678,0.00011399140433145165,4.884914201564159e-09,0.25406026141939575,6.989216123117212e-05,0.006989216123117212,1.322,0.001312673887697194,10.262121808226047,0.0,12.599960066063211,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0024016163140012266
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,103.0,0.036702842116108164,0.000610883643358129,7.35504087614392e-09,0.2422420672755538,8.576153494512514e-05,0.008576153494512514,1.547,0.0010416151777576262,6.025663767348417,0.0,12.600072406589659,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.0018071351524891312
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,103.0,0.03490327906992146,0.00777822281052183,0.0,0.20157563589072244,0.0,0.0,inf,12.42903959891555,12.0,0.5999400059994,11.033757210394285,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,-0.00016854367167009387
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,104.0,0.038177351894546005,0.00011397395113506214,3.431904663264816e-09,0.25405977777259203,5.858246037223783e-05,0.005858246037223783,1.323,0.0006473549075698274,10.26382441141892,0.0,12.599643615606725,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.002183204069457191
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,104.0,0.03670285308298278,0.0006108521605411562,1.145142571852156e-08,0.24224225949201106,0.00010701133453294357,0.010701133453294357,1.547,0.0004074827857288308,6.0256978062748985,0.0,12.599766077272118,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.00183701587063167
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,104.0,0.034903438349811015,0.007778740413580569,0.0,0.20157462734441783,0.0,0.0,inf,12.43133207505518,12.0,0.58994100589941,11.03275145038958,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,0.00028780205097761154
Manual PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,105.0,0.0381769191788375,0.00011399094848302193,1.9255897790583666e-09,0.25405682752233494,4.388154257838216e-05,0.004388154257838216,1.322,0.0007021752985619537,10.279958984310834,0.0,12.600172071456385,,0.18644,0.013767,0.0,0.005,,0.03817651842324221,0.0010497436954370564
Optimized PID,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,105.0,0.036702325495005794,0.0006108847529649844,1.1083179573335555e-08,0.2422386124828794,0.00010527668105205233,0.010527668105205234,1.547,0.0004674545860377107,6.024834252415939,0.0,12.600155432506725,,0.18644,0.013767,0.0,0.005,,0.03670217885813229,0.00039953179366164726
RL Direct Voltage Control,sensor_noise,noise_sigma_0.005,sigma = 0.005 rad/s,105.0,0.03490324712236269,0.007778987726778359,0.0,0.20157236324197117,0.0,0.0,inf,12.429687822380817,12.0,0.5999400059994,11.033964978164239,,0.18644,0.013767,0.0,0.005,,0.03490333789728869,-0.0002600752004484417
Manual PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,101.0,0.03817863840503337,0.00011393779917271348,1.6852212177134834e-08,0.2540684767498446,0.00012981607056576175,0.012981607056576175,1.321,0.0048390569476413564,10.30524179675826,0.0,12.601491633322578,,0.18644,0.013767,0.0,0.01,,0.03817651842324221,0.00555310405117107
Optimized PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,101.0,0.036702968857977455,0.0006107634141548045,8.902078152972525e-09,0.24224339055976687,9.435082486641293e-05,0.009435082486641292,1.547,0.0032888631666244763,6.056176948732522,0.0,12.600916518399613,,0.18644,0.013767,0.0,0.01,,0.03670217885813229,0.0021524603436206885
RL Direct Voltage Control,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,101.0,0.03490410805715698,0.007778026538664495,0.0,0.2015819475597219,0.0,0.0,inf,12.423419280588185,12.0,0.5999400059994,11.035719457321797,,0.18644,0.013767,0.0,0.01,,0.03490333789728869,0.0022065507618662565
Manual PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,102.0,0.03817832281459361,0.0001139251534407124,1.924298359698945e-08,0.25406641941188857,0.00013871908158933813,0.013871908158933813,1.323,0.0007008477486824036,10.314673481772891,0.0,12.59935277119405,,0.18644,0.013767,0.0,0.01,,0.03817651842324221,0.004726442918111378
Optimized PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,102.0,0.036702906101663366,0.0006107280825025787,1.3049818200666654e-08,0.24224310659804846,0.00011423580087112207,0.011423580087112207,1.546,0.0014576672012643775,6.050574138072263,0.0,12.599824878024602,,0.18644,0.013767,0.0,0.01,,0.03670217885813229,0.0019814723640449155
RL Direct Voltage Control,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,102.0,0.03490422110040587,0.00777881675891257,0.0,0.20157954030038888,0.0,0.0,inf,12.431099768175766,12.0,0.5999400059994,11.032359951486113,,0.18644,0.013767,0.0,0.01,,0.03490333789728869,0.0025304259431632664
Manual PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,103.0,0.038178947878656236,0.00011400428707621095,1.956804300512501e-08,0.2540702694293317,0.00013988582131554652,0.013988582131554652,1.323,0.002625563657493182,10.292376208133375,0.0,12.599920140746297,,0.18644,0.013767,0.0,0.01,,0.03817651842324221,0.006363742725541726
Optimized PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,103.0,0.03670359951429716,0.0006109088653423269,7.488462809427979e-09,0.24224701548650707,8.653590474148854e-05,0.008653590474148855,1.547,0.002083230826630463,6.051392224412254,0.0,12.600144813178668,,0.18644,0.013767,0.0,0.01,,0.03670217885813229,0.0038707679191441005
RL Direct Voltage Control,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,103.0,0.03490361844416128,0.0077768257071769795,0.0,0.20158348679903396,0.0,0.0,inf,12.427630327636109,12.0,0.5999400059994,11.033741717572328,,0.18644,0.013767,0.0,0.01,,0.03490333789728869,0.0008037823586378232
Manual PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,104.0,0.03817881722148095,0.00011396941854612265,1.3735355689742568e-08,0.25406954757676237,0.00011719793381174673,0.011719793381174673,1.324,0.0012944939330831555,10.285069626134051,0.0,12.599287239833336,,0.18644,0.013767,0.0,0.01,,0.03817651842324221,0.0060214978570106315
Optimized PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,104.0,0.036703628064182404,0.0006108458892155355,1.8594866220280992e-08,0.2422474392129102,0.00013636299432133702,0.013636299432133703,1.547,0.0008149651007512952,6.050660872729681,0.0,12.599532154543503,,0.18644,0.013767,0.0,0.01,,0.03670217885813229,0.0039485559037701415
RL Direct Voltage Control,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,104.0,0.03490394821585426,0.0077778544734780275,0.0,0.201581570211783,0.0,0.0,inf,12.432198625820037,12.0,0.58994100589941,11.031721528615563,,0.18644,0.013767,0.0,0.01,,0.03490333789728869,0.0017485965593629304
Manual PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,105.0,0.03817793805028979,0.0001140031356408988,8.385368585888304e-09,0.254063560483754,9.157165820213317e-05,0.009157165820213318,1.323,0.0014045664792227007,10.323467052200478,0.0,12.60034415153264,,0.18644,0.013767,0.0,0.01,,0.03817651842324221,0.0037185869906665105
Optimized PID,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,105.0,0.03670257011098663,0.0006109109071830876,1.543656344587426e-08,0.24224013138357278,0.00012424396744258555,0.012424396744258555,1.547,0.0009349096432893183,6.049207356441838,0.0,12.600310865012782,,0.18644,0.013767,0.0,0.01,,0.03670217885813229,0.0010660207827342684
RL Direct Voltage Control,sensor_noise,noise_sigma_0.010,sigma = 0.01 rad/s,105.0,0.034903561868564616,0.0077783649227773375,0.0,0.20157695276598808,0.0,0.0,inf,12.428942641867586,12.0,0.5999400059994,11.034165751486425,,0.18644,0.013767,0.0,0.01,,0.03490333789728869,0.0006416901345865933
